126415614616154112,b'Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is',positive,apple 
126521973672120320,b'How to use Google Alerts to... http://t.co/crMAaAGQ #seo #search #google #hack #sem #it #business #web #marketing #online #yes #hot #winning',neutral,google
126521582809128961,b'\xe2\x80\x9c@rianru: #Google \xd0\xbf\xd1\x80\xd0\xb5\xd0\xb4\xd1\x81\xd1\x82\xd0\xb0\xd0\xb2\xd0\xb8\xd1\x82 \xd0\xbd\xd0\xbe\xd0\xb2\xd1\x83\xd1\x8e \xd0\xb2\xd0\xb5\xd1\x80\xd1\x81\xd0\xb8\xd1\x8e #Android 4.0 http://t.co/ttgycujs\xe2\x80\x9d\n\n#Vfacebook',neutral,google
126521489116766208,b'On Google+ then go here http://t.co/XP4apWAH #GPlus #Googleplus #Google #teamfollowback #socialnetwork',neutral,google
126521228524658688,b'#Google #NexusPrime Spec sheet: http://t.co/iuYKWVRQ #Android #Mobile',neutral,google
126521130197585920,b'Why not send a Google card this Christmas? http://t.co/zSfuV48d #xmas #google #squidoo',neutral,google
126521102783619072,b'#Google and #Samsung reveal the #NexusPrime running the #IceCreamSandwich...#Mobile #Android',neutral,google
126520984122572801,"b'#Google confirms #Nexus S will get #Ice_Cream_Sandwich -- for real this time (#Gingerbread devices, too) http://t.co/4x69YDfE'",neutral,google
126520920352358401,"b'#Samsung, #Google Android 4 reveal: Live Event Blog by #engadet http://t.co/DL68lKQU'",neutral,google
126520707969581056,b'#Android #Google Ice Cream Sandwich new features not mentioned during webcast http://t.co/m2UGgiev #DhilipSiva',neutral,google
126520695218913282,b'#Android #Google Ice Cream Sandwich UI enhancements \xe2\x80\x93 a new spin on Android http://t.co/DAPpm4av #DhilipSiva',neutral,google
126520611190218752,b'Ice Cream Sandwitch comes alive today #android #google',neutral,google
126520531934654465,"b'RT @tatn: #Google, #Samsung unveil Ice Cream Sandwich-powered Galaxy Nexus http://t.co/qtiCdIvd via @CNET #Android'",neutral,google
126520511483219968,"b'#Android #Google Texas Instruments: \xe2\x80\x9cIt\xe2\x80\x99s Not the Number of Cores, It\xe2\x80\x99s Sophistication\xe2\x80\x9d http://t.co/aXDKhkb0 #DhilipSiva'",neutral,google
126520508903718912,b'#Android #Google Android Beam finally makes NFC social http://t.co/P9PMpCFl #DhilipSiva',neutral,google
126520504822661120,b'#Android #Google Texas Instruments confirms Galaxy Nexus has newer OMAP4460 processor http://t.co/sh316tBN #DhilipSiva',neutral,google
126520501442056193,b'The competition: #Google introduces #Android 4.0 Ice Cream Sandwich and the Galaxy Nexus http://t.co/4vGGHF43',neutral,google
126520500246687745,b'#Android #Google Video: Google\xe2\x80\x99s Nexus site updated with new device and ICS features http://t.co/rZBmyLTV #DhilipSiva',neutral,google
126520116795015169,b'I would also like ice Cream Sandwich on my phone #google #android http://t.co/uTHuUECJ',neutral,google
126520107089395712,b'#google Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/YLRL4lZy',neutral,google
126520074717765632,b'RT @raovallab: How #Google Ventures Chooses Which #Startups Get Its $200 Million http://t.co/UGsBdxQm via @mashbusiness @mashable',neutral,google
126520020871294977,b'RT @stuartmiles: http://t.co/hM2x3yim via @pocketlint #moto #google #android',neutral,google
126519912821825538,b'RT @AndroidTopNews: Nexus Prime rumored to be released on Nov. 3 http://t.co/77HbvLjI #News #google #Ice_Cream_Sandwich #ics #Nexus_Prime',neutral,google
126519469500669952,b'Samsung Galaxy Nexus & Android 4.0 Quick Specs - http://t.co/s1QfUznv #galaxynexus #android #ics #samsung #google',neutral,google
126519331956862976,b'Android 4.0 SDK now available #google #android http://t.co/TBtuewi1',neutral,google
126519290722648064,"b""It's not Google vs Apple. It is Apple & Google vs the old way - GigaOm http://t.co/LJlc6YzS #google""",neutral,google
126519229515169792,b'#Android #Google What\xe2\x80\x99s New in Ice Cream Sandwich Android 4.0 http://t.co/z76pv0QV #DhilipSiva',neutral,google
126519227006988288,b'#Android #Google Galaxy Nexus http://t.co/GXVKqi6z #DhilipSiva',neutral,google
126519072195223552,"b'Hmm, Google I really need a new phone. Please release the Galaxy Nexus asap! #android #google'",neutral,google
126519034488426496,b'#Google confirms that the Nexus S will actually get the ice cream sandwich update.',neutral,google
126518773401391104,b'@TreyRatcliff Congrats on making it to the #google #android 4.0 demo :) http://t.co/EPIv7ny5 #icecreamsandwich',neutral,google
126518709358575616,b'Is it bad if I just want it because its called the #icecreamsandwich ?http://t.co/Wt3C2rP1 #android #sansung #google',neutral,google
126518471893848064,b'#Android #Google Android 4.0 Ice Cream Sandwich \xe2\x80\x93 All New Core Applications Overview http://t.co/XLtT7Wr9 #DhilipSiva',neutral,google
126518469507289090,b'#Android #Google New UI and Core Features in Android 4.0 Ice Cream Sandwich Overview http://t.co/BD2omnIb #DhilipSiva',neutral,google
126518466315431936,b'#Android #Google Android 4.0 Ice Cream Sandwich Has Hardware Acceleration http://t.co/ijWr1mUJ #DhilipSiva',neutral,google
126518461055774721,b'#Android #Google Ice Cream Sandwich Feature Closer Look - Redesigned Lock Screen And Virtual Button Bar http://t.co/FqsPN4An #DhilipSiva',neutral,google
126518313160409088,b'RT @Androidheadline Three UK to carry the Samsung Galaxy Nexus http://t.co/bLtq3VrK #android #Samsung #UK #telecom #biznews #Google #news',neutral,google
126518252355584001,"b""RT @bytenow: The next pure #Google phone is the #Galaxy #Nexus by #Samsung. It's fast and has a nice screen - http://t.co/9RwvaUkq""",neutral,google
126518222487961600,"b""The next pure #Google phone is the #Galaxy #Nexus by #Samsung. It's fast and has a nice screen - http://t.co/9RwvaUkq""",neutral,google
126518218343972864,b'On Google+ then go here http://t.co/18qxaSp2 #GPlus #Googleplus #Google #teamfollowback #socialnetwork',neutral,google
126518121946292224,b'Like to get my hands on an ice cream sandwich #android #google',neutral,google
126518025863168000,b'#google Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/Ac8JPjPK',neutral,google
126517966589267968,"b""#Android #Google HTC on ICS: 'reviewing its features and functionality to determine our upgrade plans' http://t.co/GrhboOar #DhilipSiva""",neutral,google
126517947329036288,"b""HTC on ICS: 'reviewing its features and functionality to determine our upgrade plans' http://t.co/UdkGr3Cb  #android #google""",neutral,google
126517930027515904,"b'RT @Stephaniezogrh Samsung, Google Unveil Latest Android OS, Phone - PCWorld http://t.co/0dkQs3h3 #Android #Samsung #Apple #Google #tech'",neutral,google
126517793792344064,"b'@rohit_bmw Rohit, thanks for being part of my #google+ network!'",neutral,google
126517583347326976,b'Ice Cream Sandwich is out!   http://t.co/YyceZpDy #android #ios #ics #google',neutral,google
126517558152134656,b'RT @BuzzzIt: BuzZz...: Google Wallet Introduction Video http://t.co/Q00gYwQH #Google #Wallet',neutral,google
126517526363504641,b'Google encrypts searches: http://t.co/q8inLdFy #Google',neutral,google
126517179272278016,"b'Great Mission :: Ice Cream Sandwich, #Google mission was to build a mobile OS that works on both phones and tablets'",neutral,google
126517076889321472,"b""RT @lcashdol: Too bad #google didn't have a tribute graphic for #DennisRitchie.""",neutral,google
126516982936895488,"b'Like traditional VC firms, Google Ventures makes its investment decisions solely ...  #google #ventures #spencer http://t.co/TBGqSFos'",neutral,google
126516898845310977,b'#Google to begin defaulting logged-in #users to #secure #search: According to a blog post by\xe2\x80\xa6 http://t.co/64Cj3GuH',neutral,google
126516776652640256,b'#Google Wallet now supported by seven new retailers [video] http://t.co/LCrWw4ld via @BGR',neutral,google
126516749242871809,"b""WOW that #AmberCole video hit #Google!! I'm done haha.....""",neutral,google
126516744742387712,"b""RT @AccessNetworks: We're waiting patiently for Google+ business pages. Anyone else wanting to jump on board? #avtweeps #google+ http:// ...""",neutral,google
126516342319890432,b'Galaxy Nexus Promotion Video http://t.co/JIV8z67u #samsung #google #android #ics #smartphone',neutral,google
126516212749443072,b'#Android #Google Ice Cream Sandwich Official Video http://t.co/ppH5CW1p #DhilipSiva',neutral,google
126515992737218560,b'My next phone samsung galaxy nexus. Ice cream sandwich 4.0. #android #google http://t.co/mjYSLzie',neutral,google
126515637978796032,b'Ice Cream Sandwich Android: #IceCreamSandwichAndroid  #Ice #Cream #Sandwich #Android http://t.co/pVRaHhxR #google #youtube',neutral,google
126515576507084800,"b""I'm not a windows phone fan, but I'm a #Metro UI fan, which, IMO, has been fortunately (or sadly) copied by #Google into #ICS.""",neutral,google
126515415592607744,b'RT @LCmediaHouse: #Google vs Facebook: Get the Whole Picture for Your Marketing http://t.co/tm2xaijB  #SocialMedia',neutral,google
126515341567344641,b'I have been watching Captain American movie I will give you what I think of #Google Ice Cream Sandwich going to watch it now',neutral,google
126515104723374080,b'#Samsung #Galaxy #Nexus hands-on (video) http://t.co/9MNNerc5 #mobile #android4 #galaxynexus #google',neutral,google
126514945373376512,b'Fight: Galaxy Nexus vs. Droid RAZR vs. iPhone 4S http://t.co/P3qHh63d #Android #iPhone #Google',neutral,google
126514719828885504,b'Unwrapping Ice Cream Sandwich on the Galaxy Nexus: (Cross-posted on the Google Mobile blog)\nBeaming a vi... http://t.co/Q2mvqxJf #google',neutral,google
126514719770161152,b'#Google #News: Unwrapping Ice Cream Sandwich on the Galaxy Nexus: (Cross-posted on the Google Mob... http://t.co/0PkK7J5D #harshgandhitk',neutral,google
126514718188900352,b'#Google #News: Unwrapping Ice Cream Sandwich on the Galaxy Nexus: (Cross-posted on the Google Mob... http://t.co/AgC6PCz7 #harshgandhitk',neutral,google
126514697875894272,b'On Google+ then go here http://t.co/AwDFxDcI #GPlus #Googleplus #Google #teamfollowback #socialnetwork',neutral,google
126514441314500608,b'#Android #Google Download: Android 4.0 Ice Cream Sandwich SDK System Dump http://t.co/VyyAsBM6 #DhilipSiva',neutral,google
126514438680489985,"b'#Android #Google Nexus Site Updated With ICS and Galaxy Nexus, Register to be Notified http://t.co/GHPDQALt #DhilipSiva'",neutral,google
126514435949993984,b'#Android #Google Official Promo Video Reveals Verizon Wireless Destination http://t.co/xKH7UGY4 #DhilipSiva',neutral,google
126513983338450944,"b""#google's galaxy #nexus just came out with #anroid4.0. http://t.co/p5kuIoox""",neutral,google
126513499890397185,b'BuzZz...: Google Wallet Introduction Video http://t.co/Q00gYwQH #Google #Wallet',neutral,google
126513430508212224,"b'Google is rolling out a suite of new changes to its Google Docs service, including 50 new features for ... http://t.co/3j4Vd8WF #Google+'",neutral,google
126513429103128577,"b'Ballmer also said that the company has a ""variety of different ways"" to respond to Hangouts, the group ... http://t.co/brBjtB86 #Google+'",neutral,google
126513426968215552,"b'As far as I can tell, Google engineer Steve Yegge never intended to become famous for criticizing the c... http://t.co/SO1rCq0y #Google+'",neutral,google
126513317320736768,"b'#Google confirms #Nexus S will get #Ice_Cream_Sandwich -- for real this time (#Gingerbread devices, too) http://t.co/apLj6Tsk via @engadget'",neutral,google
126513307589935104,"b'www.geoloco.tv - #Geoloco, future of tech, brands, ads in location revolution - 11-3 San Francisco - keynotes #Google, #Facebook, #Starbucks'",neutral,google
126513117944496128,b'#Google confirms #Nexus S will get Ice Cream Sandwich -- for real this time (#Gingerbread\xe2\x80\xa6 http://t.co/vIoR326D',neutral,google
126513115830554625,b'#Samsung Galaxy #Nexus hands-on (#video) http://t.co/w4muSKEm #android #galaxynexus #galaxynexus #google',neutral,google
126513110264717312,b'#Google announces #NFC-based #Android Beam for sharing between phones http://t.co/VonJhtjE #android40 #androidbeam',neutral,google
126512932933734402,b'#Android #Google First Official Galaxy Nexus / Ice Cream Sandwich Promo Video With Feature Highlights... http://t.co/LtrC34VG #DhilipSiva',neutral,google
126512471845515264,b'Discover #Keywords & #Business Critical Information to be No 1 on #Google read aspenIbiz #blog post http://t.co/Rotiieo0',neutral,google
126512277720535040,b'Samsung and #Google Announce Galaxy Nexus and #Android 4.0\xe2\x80\x93Ice Cream Sandwich http://t.co/g6EOfUYY #news #android40',neutral,google
126512269847826432,b'Android 4.0 SDK now available #google #android http://t.co/P05YR6PC',neutral,google
126512265036959744,b'Android 4.0 SDK now available #google #android http://t.co/dB2Rzsu5 #neowin',neutral,google
126512130752126976,"b'And my favorite, ""is @danielltosh gay?"" #Google #autocomplete'",neutral,google
126511907569020928,b'How do you get pink eye? #Google #autocomplete',neutral,google
126511799947366401,"b'#Google unveils Ice Cream Sandwich, SDK is available now http://t.co/JHGldej9'",neutral,google
126511578777526273,b'#Android + #Google have all of the tools to reshape the market. I should probably take a break from all this #ICS talk. http://t.co/D6T2XYAD',neutral,google
126511507088478208,"b'@LegiondaChosen1: Check out ""Big Hit feat. LegiondaChosen1 - I\'m On 1 - Freestyle"" - http://t.co/IfxU5Za0 #Google Me!!'",neutral,google
126511425760935936,b'On Google+ then go here http://t.co/5tbv933W #GPlus #Googleplus #Google #teamfollowback #socialnetwork',neutral,google
126511400825790464,b'#google #icecream #galaxy #nexus http://t.co/gkoHBpN8',neutral,google
126511380365983744,b'RT @VentureBeat: #Google releases an Infinite Digital Bookcase http://t.co/gVbdhLiu by @MeghanKel',neutral,google
126511358861778944,b'Why are manhole covers round? #Google #autocomplete',neutral,google
126511243371610113,b'RT @NeowinFeed Google shows off new Ice Cream Sandwich features #google #android http://t.co/TAJFjSD9 #neowin',neutral,google
126510915771301888,"b'RT @Div_Spartan: Fellow Michiganders, do the right thing. Get online! #Google helping #Michigan businesses get online http://t.co/npz2KwmQ'",neutral,google
126510801803673600,b'#Samsung #google #nexus',neutral,google
126510781801046016,b'DAMN!!! #Galaxy #Nexus #Google #Android http://t.co/DL3cNtEU time for me to upgrade my Nexus S xD',neutral,google
126510402359140352,b'#Android #Google Need Proof of Verizon\xe2\x80\x99s Galaxy Nexus? http://t.co/jcP7bkvg #DhilipSiva',neutral,google
126510393114898432,b'Galaxy Nexus #GalaxyNexus #Android #Google http://t.co/AWJHxwGT #followme',neutral,google
126510377558216704,b'Android Ice Cream Sandwich adds Face Unlock feature http://t.co/45HxZE0o #Tech #google',neutral,google
126510284536942592,b'#Google releases an Infinite Digital Bookcase http://t.co/12AuhZ6o by @MeghanKel',neutral,google
126510143541231616,"b""#Google encrypts search data against hackers, marketers 'howl': http://t.co/nFwcQD9R | #divisions""",neutral,google
126510049039368192,b'#Google Android Ice Cream Sandwich OS http://t.co/VhntGols #technology #androidicecream #nexusprime #sandwichos',neutral,google
126509936518762496,b'#Android #Google Video: Samsung Galaxy Nexus Announcement and Official Promo http://t.co/4ErExB4T #DhilipSiva',neutral,google
126509922505596928,"b'#Android #Google ICS Has Completely Revamped Your Contacts Into The ""People"" app http://t.co/QDoGji0U #DhilipSiva'",neutral,google
126509783665745920,b'http://t.co/pUvXwjjc Is it #Google #bookmark or #links that bring site #traffic blogspot http://t.co/KPdXWPEB wp http://t.co/31g0geqy',neutral,google
126509619819462657,b'#Facebook vs. #Google+ : Which #SocialMedia Platform is the Best for You? | @customerthink http://t.co/QqkviaAn',neutral,google
126509495907135489,"b'Android 4.0 Ice Cream Sandwich Official, SDK Now Available http://t.co/9zUBrPE2 #tech #google'",neutral,google
126509381327134720,b'#goodtoknow #privacy #google http://t.co/Ye337YR6',neutral,google
126509283260108800,b'Samsung Galaxy Nexus: Android 4.0 Smartphone Unveiled : http://t.co/b5jmtr1L #android #google #mobile #news',neutral,google
126509226720903168,b'Samsung And Google Announce Galaxy Nexus http://t.co/I6r95xgK #samsung #galaxy #nexus #google #android #ICS #news #tech',neutral,google
126508885992415232,"b""#Google's #Android 4.0 Development Plan: Make Android Prettier http://t.co/7X0OFPuq @paidcontent""",neutral,google
126508842367463424,b'#Google springs #IceCreamSandwich on Samsung #GalaxyNexus smartphone. Android tablets soon? http://t.co/yyU5q0I7 (TabTimes)',neutral,google
126508789254979584,b'It tells you where to find your next drink. RT @RoycinD: What the fuck is a Barometer doing in a phone? Eh? #ICS #google #galaxynexus',neutral,google
126508753997668352,"b'Good To Read: Google steps up its privacy game, launches Good To Know (ZDNet - Oct.18) #google http://t.co/qKthMjwo'",neutral,google
126508642060083200,"b'Thank you, Internet, for allowing me to be Bunny Watson for my friends. #google #imdb #allmusic'",neutral,google
126508398522019840,b'#Google weiterhin auf der Erfolgsspur http://t.co/lf3RkTcJ',neutral,google
126508037400825857,b'Samsung e o Google lan\xc3\xa7am hoje o Galaxy Nexus e o Android 4.0 http://t.co/PW4KRE0F #google #samsung',neutral,google
126508035416928256,b'RT @BatzayaB: #Google #Android Ice Cream Sandwich 4.0 (photos) http://t.co/XlJBYgIS',neutral,google
126507982543532034,b'#Google #Android Ice Cream Sandwich 4.0 (photos) http://t.co/iK3Iq8KR',neutral,google
126507925337411584,"b'#Google #Galaxy #Nexus, Miam !\n\nhttp://t.co/8UpG3BOg'",neutral,google
126507911844339712,b'On Google+ then go here http://t.co/VS0UJozD #GPlus #Googleplus #Google #teamfollowback #socialnetwork',neutral,google
126507657472393216,b'#Google Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/D7ntPaIt',neutral,google
126507418539671552,b'Google Galaxy Nexus http://t.co/vWpuA2gt #google #galaxynexus #android #ICS',neutral,google
126506926069645312,b'Some people should not post replies in #Google+ threads. Their posts only continue to weaken their creditbility.',neutral,google
126506902145347584,b'#Android #Google Android 4.0 (Ice Cream Sandwich) SDK and ADT 14 Released http://t.co/wG9xoNkg #DhilipSiva',neutral,google
126506895124086784,"b'#Android #Google Official Galaxy Nexus Site Goes Live, Highlights Ice Cream Sandwich And Galaxy Nexus... http://t.co/4ijvupvq #DhilipSiva'",neutral,google
126506846499520512,"b""Reading: Android 4.0 'Ice Cream Sandwich' Features Announced By Google (HuffPost- Oct.18) #google http://t.co/wmqNPcLV""",neutral,google
126506795958153216,b'Galaxy Nexus #Android ICS barometer will undoubtedly be used to add 3D to #Google Maps.',neutral,google
126506701259157504,b'#Google+',neutral,google
126506651271430144,"b""@dwtalker that's some tough competition right there http://t.co/XP9LhjpR #TechWar #Google #Facebook #Apple #Amazon""",neutral,google
126506310228377600,b'#Android #Google Calling all speed demons - Galaxy Nexus! http://t.co/kma7ZnAf #DhilipSiva',neutral,google
126506306201858049,b'#Android #Google Android Beam makes NFC for more than paying for things http://t.co/dxrbxjkB #DhilipSiva',neutral,google
126506273662447616,b'Calling all speed demons - Galaxy Nexus! http://t.co/7OyVuqdq  #android #google',neutral,google
126506272152502272,b'Android Beam makes NFC for more than paying for things http://t.co/3wKMrcTL  #android #google',neutral,google
126505781553147904,b'Yeni Galaxy Nexus - http://t.co/QZcbA4Bx #google #galaxynexus',neutral,google
126505670446022656,b'RT @MikeMcCready: Don\xe2\x80\x99t Cast Your Google Adwords Net Too Wide | Mike McCready http://t.co/ms06fehi #google #adwords',neutral,google
126505612690456576,"b'#Google, #Samsung unveil Ice Cream Sandwich powered Galaxy Nexus.. #Android4.0'",neutral,google
126505607116238848,"b""I'm thinking seriously to make my own page in #wikipedia just to find myself in #google.""",neutral,google
126505424823402496,b'Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/9IvTJkit #Google',neutral,google
126505412068511745,b'Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/QoXd3I0s #google',neutral,google
126505392191705088,"b'Update : Google Officially calls Android Ice Cream Sandwich, Shouts Android 4.0 http://t.co/zzRuwrSk  #google #ics #android4'",neutral,google
126505364307984384,b'116 new #jobs posting for #google http://t.co/XfG6l29D  #jobely',neutral,google
126505359161573377,b'Is Google Analytics Reverse-Engineering Facebook?: http://t.co/mJHRoa7L #google #facebook #media #digitalstrategy',neutral,google
126505133587709953,"b""RT \xe2\x80\x9c@Ant0ineH: Twitter Will Beat #Google+ And #Facebook With Simplicity- #Twitter CEO http://t.co/melkHdb7\xe2\x80\x9d Beat? You aren't competitors\xe2\x80\xa6""",neutral,google
126505094664568833,b'who the hell is #ambercole?? i dont feel like i care enough to #google this bitch so ill ask you guys!',neutral,google
126504998799552513,b'#Pearson and #Google take advantage of the profound lack of LMS PD with their new offering http://t.co/4RsRDU4G Also do not do reporting',neutral,google
126504923687960576,b'Unwrapping Ice Cream Sandwich on the Galaxy Nexus http://t.co/qukDb5lb #google #mobile',neutral,google
126504910844989440,b'#Google #Android #ICS #IceCreamSandwich',neutral,google
126504893354741760,b'http://t.co/pUvXwjjc How do #CMM & #BBC get #massive #hits? Is #Google @ work? blogspot http://t.co/KPdXWPEB wp http://t.co/31g0geqy',neutral,google
126504842469457922,"b'Google Reveals the Details of Android OS 4.0, Samsung Galaxy Nexus http://t.co/KyxuNP8I #google #android #samsung'",neutral,google
126504774047772672,b'#google must b having sum underlying reasoning 4 naming products after eatables #eclair #gingerbread #icecream #rawadosa #android',neutral,google
126504709036056576,b'Installing the Ice Cream Sandwich SDK #android #google',neutral,google
126504427275300864,b'Cool Infographic: Perks working for the big techs like #Google & #Facebook | http://t.co/lNEgf7Kn',neutral,google
126504377862205441,b'On Google+ then go here http://t.co/K6BggvDx #GPlus #Googleplus #Google #teamfollowback #socialnetwork',neutral,google
126504319859175424,b'#Google To Begin Encrypting Searches & Outbound Clicks By Default With SSL Search http://t.co/xW7vh75e',neutral,google
126504126665334784,b'#droidtweak #Video: #IceCreamSandwich on the #GalaxyNexus http://t.co/vBcl0OzP #googlephone #nexus1 #NexusS #google',neutral,google
126504115508494337,b'Galaxy Nexus \xe2\x80\x93 the first Ice Cream Sandwich phone coming to Verizon http://t.co/BiPvBdxz  #android #google',neutral,google
126504105530236928,"b""@megd0630 we don't go site seeing for  igloos in Alaska don #giveitup your better off checking #google""",neutral,google
126503993768804352,b'Big Money... http://t.co/Ms6AwiX4 #seo #search #google #hack #sem #it #business #web #marketing #online #yes #hot #winning',neutral,google
126503947560165376,b'RT @RUILIFESTYLE: #GOOGLE THE MIXTAPE http://t.co/v8zTtNVV',neutral,google
126503706760974337,b'#Android #Google Meet the Samsung Galaxy Nexus and Ice Cream Sandwich http://t.co/2VWXzReW #DhilipSiva',neutral,google
126503703514578944,b'#Samsung Galaxy Nexus is now confirmed http://t.co/v4LR34p3 #googlenews #mobile #android40icecreamsandwich #google',neutral,google
126503693355982849,b'#Android #Google Android 4.0 SDK now available http://t.co/HI1cQ2si #DhilipSiva',neutral,google
126503688595447810,b'#Android #Google Samsung Galaxy Nexus release details still in short supply http://t.co/s6A7Y9WT #DhilipSiva',neutral,google
126503683142852608,b'#Android #Google Samsung Galaxy Nexus hands-on roundup http://t.co/RE1EnpaU #DhilipSiva',neutral,google
126503627706732544,b'Don\xe2\x80\x99t Cast Your Google Adwords Net Too Wide | Mike McCready http://t.co/ms06fehi #google #adwords',neutral,google
126503349657935872,"b'Google details Android 4.0 Ice Cream Sandwich, offers SDK http://t.co/mShfEQe6 #Android #Google'",neutral,google
126503090487705601,b'Dennis Goedegebuure\xe2\x80\x99s Thoughts on Changes in #Google Analytics: I contacted Dennis and asked\xe2\x80\xa6 http://t.co/okCwNrpq',neutral,google
126503088461848576,"b'Article Recap on the #Google Analytics ""Secure"" Change: Here are some articles we found after\xe2\x80\xa6 http://t.co/RPTLWMLo'",neutral,google
126502770130960384,b'#Google releases an Infinite Digital Bookcase http://t.co/FbvZq8Yp by @MeghanKel',neutral,google
126502761608122368,"b'Check out "" @Legiondachosen1 ft. Big Hit - My Life\'s A Movie (snippet) - Prod. by @LegiondaChosen1"" - http://t.co/XjTCc7j7 #Google Me!!'",neutral,google
126502730264088576,b'Massive Galaxy Nexus/Ice Cream Sandwich Recap. - http://t.co/I8SW5Udz #galaxynexus #Google #ics #Samsung',neutral,google
126502630578069504,b'#Android #Google Three UK to carry Samsung Galaxy Nexus http://t.co/Lt4m2HH4 #DhilipSiva',neutral,google
126502626085969920,b'#Android #Google Google updates Nexus site with Galaxy Nexus details http://t.co/BeckhmA1 #DhilipSiva',neutral,google
126502616128684032,b'Three UK to carry Samsung Galaxy Nexus http://t.co/SwvAcbxC  #android #google',neutral,google
126502614086070273,b'Google updates Nexus site with Galaxy Nexus details http://t.co/LaSn4ol0  #android #google',neutral,google
126502326356815872,"b'RT @tatn: #Google, #Samsung unveil Ice Cream Sandwich-powered Galaxy Nexus http://t.co/uY7KWJiY via @CNET #Android'",neutral,google
126502296916987904,"b'#Google, #Samsung Add \xe2\x80\x99Ice Cream Sandwich\xe2\x80\x99 Phone http://t.co/oOdugpqG $AAPL $GOOG #hitech #gadgets #mkt #digital'",neutral,google
126502291799945217,"b'#google+ ...thoughts? to sign up or not to sign up, that is the question...'",neutral,google
126502250041454593,"b'#Google Ice Cream Sandwich, Nexus Prime Launch [LIVE BLOG] http://t.co/YD4FBog3 #uncategorized #android'",neutral,google
126502128737976321,b'#Google has been released #Android 4.0 platform http://t.co/mvdCD0v8',neutral,google
126502101944778752,b'#Google Defaults to Encrypted HTTPS #Searches for Logged In Users [#Security] http://t.co/kzMZDxmE',neutral,google
126502100308996097,"b""#Android #Google Samsung's Galaxy Nexus - It's Official, It's Headed For Global Availability, And It's... http://t.co/TI9Hy8LW #DhilipSiva""",neutral,google
126501988132327425,"b'Personal-finance #security #startup @BillGuard raises $10mn from #KhoslaVentures, Peter Thiel\xe2\x80\x99s @FoundersFund n #Google http://t.co/UdlOQFsA'",neutral,google
126501882331017216,"b""#google just invented #mango taste #icecream. even the #roboto is so #segoe. but it's ok. every oem will have to pay #ms anyway... LOL.""",neutral,google
126501647378690048,b'Embed Google Calendar To Your Wordpress Post: http://t.co/ah8km2JF #wordpress #google',neutral,google
126501582274707457,b'#Google To Begin Encrypting Searches & Outbound Clicks By Default With SSL Search http://t.co/bf5zVm0U @searchengineland',neutral,google
126501535160074240,"b'#samsung #google #galaxynexus We got the lowdown after the Hong Kong press release, check it out: http://t.co/OWhYR0YJ'",neutral,google
126501463752060928,b'#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/lfpPk5Yk',neutral,google
126501463726899200,b'#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/qD1bqVm8',neutral,google
126501463672369152,b'#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/eizExUn0',neutral,google
126501463663976448,b'#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/DGGsNOh2',neutral,google
126501463659790337,b'#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/XPGHLC2o',neutral,google
126501463626223616,b'#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/rUkTyUJC',neutral,google
126501463554924544,b'#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/3GC0UEPM',neutral,google
126501463529754624,b'#google #IceCreamSandwich #Samsung #Updates #Android | \nGalaxy Nexus with Ice Cream Sandwich: pictures http://t.co/STIfQWTU',neutral,google
126501360089825280,b'Chrome Experiment - WebGL Bookcase - http://t.co/1GNsOwmu #Google',neutral,google
126501176559677441,b'Word of Mouth and the Internet - YouTube http://t.co/UCD9sDx4 #google #searching #wom',neutral,google
126501155999203328,"b""@AtlantaSnoop yea I've seen my #location waaaay off on #google sites. Not a big deal but still strange. #spookygoogle""",neutral,google
126500867280093184,b'#Android #Google Galaxy Nexus Site is Live: Register and Relive the New Features http://t.co/7llRSpUO #DhilipSiva',neutral,google
126500856026771456,b'On Google+ then go here http://t.co/iLjdQBpT #GPlus #Googleplus #Google #teamfollowback #socialnetwork',neutral,google
126500659833995265,b'#Google & Samsung announced their (hopeful) rebuttal to iPhone 4S tonight... site shows nice specs but no carriers yet. http://t.co/Z8SDgUT9',neutral,google
126500532478148610,b'RT @GWGoddess: We could have told you this two years ago! http://t.co/6BZ6W7cf @Novell #GroupWise #Google',neutral,google
